API,Formation,Operator,FirstProdDate,Latitude,Longitude,TVD_FT,PLL,GORi
4900561806,NIOBRARA,EOG,6/1/2014,43.547112,-105.6067515,11728,8978.490512," 2,208 "
4900561841,SHANNON,CONTINENTAL RESOURCES,4/1/2014,43.68538,-105.995731,9961,3997.532564, 343 
4900561846,PARKMAN,EOG,7/1/2013,43.643385,-105.527277,7335,4032.230509, 445 
4900561900,PARKMAN,BALLARD PETROLEUM,10/1/2013,44.096092,-105.5997945,6287,4176.044896, 200 
4900561911,TURNER-FRONTIER,DEVON,1/1/2014,43.7291675,-105.5170335,11552,4001.957867, 809 
4900561924,PARKMAN,BALLARD PETROLEUM,11/1/2013,44.0820645,-105.6586745,6572,4534.487144, 232 
4900561929,TURNER-FRONTIER,EOG,10/1/2013,43.671234,-105.608686,10522,4620.905919, 887 
4900561982,TEAPOT,DEVON,8/1/2013,44.005399,-105.565232,10866,4097.347502, 200 
4900562067,TURNER-FRONTIER,PEAK POWDER RIVER RESOURCES LLC,9/1/2021,43.6124105,-105.7340575,11429,4142.685457," 1,273 "
4900562083,PARKMAN,DEVON,12/1/2013,43.948359,-105.52255,6217,4219.229542, 200 
4900562143,PARKMAN,DEVON,5/1/2015,43.707391,-105.5570955,7558,9412.597167, 933 
4900562204,PARKMAN,DEVON,2/1/2015,43.7233605,-105.5306875,7287,9413.707166, 323 
4900562242,TURNER-FRONTIER,EOG,10/1/2014,43.699479,-105.5995045,10645,4251.315086, 694 
4900562378,NIOBRARA,EOG,10/1/2014,43.7142685,-105.670382,10571,4336.054838, 611 
4900562430,TURNER-FRONTIER,PEAK POWDER RIVER RESOURCES LLC,9/1/2014,43.628989,-105.451261,9766,4081.079254," 27,731 "
4900562438,PARKMAN,BALLARD PETROLEUM,9/1/2014,44.0820015,-105.700787,6796,3798.551498, 284 
4900562455,PARKMAN,BALLARD PETROLEUM,11/1/2014,44.0473765,-105.6201115,6458,3937.198298, 202 
4900562467,TURNER-FRONTIER,PEAK POWDER RIVER RESOURCES LLC,8/1/2020,43.6274705,-105.7825695,11696,4149.892187," 1,421 "
4900562483,PARKMAN,BALLARD PETROLEUM,4/1/2015,43.630953,-105.6150975,7866,3833.598987," 1,039 "
4900562564,PARKMAN,CITATION OIL & GAS,10/1/2014,43.9487705,-105.817897,7607,3001.619716, 360 
4900562570,MOWRY,EOG,5/1/2018,43.605163,-105.6623635,12068,9397.211719," 6,647 "
4900562594,PARKMAN,EMEP II OPERATING LLC,8/1/2015,43.71949,-105.4447055,6783,6544.958579, 200 
4900562699,PARKMAN,BALLARD PETROLEUM,2/1/2015,44.062604,-105.643224,6592,4632.202772, 200 
4900562768,PARKMAN,BALLARD PETROLEUM,3/1/2021,44.0713025,-105.6507025,6655,10323.3976, 200 
4900562780,PARKMAN,EOG,1/1/2018,43.6717085,-105.5542915,7456,3514.132219, 266 
4900562800,PARKMAN,DEVON,7/1/2015,43.723823,-105.4715535,7287,9866.687419, 310 
4900562828,PARKMAN,DEVON,8/1/2015,43.693872,-105.48931,7204,9443.389971, 209 
4900562909,TURNER-FRONTIER,EOG,8/1/2016,43.6133315,-105.5597105,10484,4747.911286," 2,399 "
4900562941,PARKMAN,DEVON,2/1/2017,43.66246,-105.5284205,7443,7601.645361, 255 
4900928232,SUSSEX,CONTINENTAL RESOURCES,2/1/2010,43.207722,-105.6257475,10077,4567.090212, 200 
4900928240,TURNER-FRONTIER,IMPACT E&P LLC,5/1/2010,43.179108,-105.727908,12825,5292.252991," 1,421 "
4900928247,SUSSEX,CONTINENTAL RESOURCES,3/1/2010,43.1795075,-105.6164555,10188,4154.994727, 200 
4900928268,SUSSEX,CONTINENTAL RESOURCES,1/1/2011,43.207429,-105.648165,10310,4381.142343, 200 
4900928298,SUSSEX,SAMSON RESOURCES II,3/1/2011,43.4377105,-105.894087,10283,4131.246452," 2,009 "
4900928347,NIOBRARA,CONTINENTAL RESOURCES,10/1/2011,42.9181695,-105.501866,12120,4933.089642," 1,014 "
4900928358,NIOBRARA,CONTINENTAL RESOURCES,10/1/2011,42.8177505,-105.4426655,11243,3811.155465," 1,672 "
4900928403,NIOBRARA,1876 RESOURCES LLC,8/1/2011,42.901999,-105.680834,14168,4185.708008, 748 
4900563022,SHANNON,PEAK POWDER RIVER RESOURCES LLC,2/1/2018,43.6046545,-105.8089705,10319,9569.738818, 652 
4900563045,PARKMAN,DEVON,9/1/2015,43.7955275,-105.4726175,6842,9366.743422, 247 
4900563082,PARKMAN,DEVON,10/1/2017,43.6570415,-105.5206765,7253,4475.56932, 268 
4900560199,PARKMAN,BALLARD PETROLEUM,10/1/2009,44.083261,-105.6407875,10730,3920.843307, 661 
4900928476,SUSSEX,CONTINENTAL RESOURCES,1/1/2012,43.179503,-105.6319645,10199,4232.586926, 369 
4900928493,NIOBRARA,DEVON,2/1/2012,43.3406175,-105.4532535,12463,3899.191185," 1,090 "
4900928502,TURNER-FRONTIER,DEVON,4/1/2015,43.384413,-105.5134025,11019,3579.978916," 2,534 "
4900928525,PARKMAN,EOG,5/1/2014,43.428236,-105.505101,7656,4352.118328, 279 
4900928526,NIOBRARA,CONTINENTAL RESOURCES,6/1/2012,42.839647,-105.419458,11540,5761.49149," 1,795 "
4900928527,NIOBRARA,CONTINENTAL RESOURCES,2/1/2012,42.8168525,-105.472494,11244,3404.838967, 883 
4900928545,TURNER-FRONTIER,IMPACT E&P LLC,2/1/2013,43.177565,-105.7612295,13024,3837.824193," 1,727 "
4900928568,NIOBRARA,CONTINENTAL RESOURCES,7/1/2012,42.805988,-105.287027,11570,6101.524845," 4,994 "
4900928587,NIOBRARA,CONTINENTAL RESOURCES,8/1/2012,42.904495,-105.3118475,11443,3731.244681," 1,730 "
4900928624,NIOBRARA,CONTINENTAL RESOURCES,3/1/2013,42.7922955,-105.180514,10900,6172.700928," 6,358 "
4900928643,NIOBRARA,CONTINENTAL RESOURCES,5/1/2013,42.80703,-105.2292405,11158,8236.607668," 5,089 "
4900928644,NIOBRARA,CONTINENTAL RESOURCES,10/1/2013,42.7900365,-105.202129,11107,4599.169133," 4,533 "
4900928683,NIOBRARA,CONTINENTAL RESOURCES,7/1/2012,42.977002,-105.342095,11412,3952.720794," 1,003 "
4900928705,NIOBRARA,CONTINENTAL RESOURCES,10/1/2012,42.8326205,-105.2608855,11242,4483.508288," 5,510 "
4900928780,NIOBRARA,CONTINENTAL RESOURCES,9/1/2012,42.8168375,-105.3432345,11302,3825.406496," 4,012 "
4900928788,TURNER-FRONTIER,IMPACT E&P LLC,2/1/2014,43.192936,-105.914613,12742,9225.621819, 929 
4900928842,NIOBRARA,CONTINENTAL RESOURCES,2/1/2013,42.842888,-105.239963,11254,6330.329457," 5,671 "
4900928885,TEAPOT,DEVON,7/1/2014,43.067707,-105.0335755,6469,4205.471801, 545 
4900928945,NIOBRARA,CONTINENTAL RESOURCES,4/1/2015,42.818609,-105.2539905,11221,5380.737233," 7,102 "
4900928946,NIOBRARA,CONTINENTAL RESOURCES,5/1/2015,42.877604,-105.325234,11497,5771.243983," 3,528 "
4900928976,NIOBRARA,CONTINENTAL RESOURCES,5/1/2014,42.8413345,-105.306543,11331,5222.539073," 5,733 "
4900928980,SUSSEX,CONTINENTAL RESOURCES,4/1/2015,42.9224945,-105.3180785,9962,8805.224284," 1,527 "
4900928984,NIOBRARA,CONTINENTAL RESOURCES,10/1/2013,42.7888725,-105.3196095,11429,4067.624979," 4,841 "
4900560891,TURNER-FRONTIER,EOG,2/1/2011,43.542511,-105.459377,10145,4090.520447," 18,559 "
4900929017,NIOBRARA,CONTINENTAL RESOURCES,4/1/2017,42.826459,-105.364528,11236,3809.206237," 3,605 "
4900929080,NIOBRARA,CONTINENTAL RESOURCES,8/1/2014,42.8173855,-105.3403795,12220,4440.97896," 6,246 "
4900929082,TEAPOT,DEVON,9/1/2013,43.0530195,-105.069992,6606,3593.061678, 650 
4900929105,NIOBRARA,CONTINENTAL RESOURCES,7/1/2014,42.817298,-105.3418275,11292,4251.956067," 5,744 "
4900929164,NIOBRARA,CONTINENTAL RESOURCES,11/1/2014,42.842424,-105.172757,10650,5356.66213," 4,484 "
4900929195,TURNER-FRONTIER,CONTINENTAL RESOURCES,10/1/2014,42.7929165,-105.268855,12062,6140.533231," 6,103 "
4900929249,PARKMAN,DEVON,6/1/2014,43.3262445,-105.4642055,8018,3780.77729, 303 
4900929272,TURNER-FRONTIER,EOG,4/1/2018,43.3998405,-105.373707,11237,5117.979954," 1,102 "
4900929290,TURNER-FRONTIER,EOG,11/1/2015,43.439502,-105.3895,11230,7661.009863," 1,293 "
4900929294,NIOBRARA,IMPACT E&P LLC,9/1/2022,43.1428945,-105.752466,12490,9917.737283, 994 
4900561022,TURNER-FRONTIER,EMEP II OPERATING LLC,3/1/2011,43.7750235,-105.40881,9199,4184.268012, 739 
4900561051,TURNER-FRONTIER,EMEP II OPERATING LLC,3/1/2011,43.759488,-105.397255,8988,3832.577922," 1,048 "
4900929318,TEAPOT,DEVON,2/1/2014,43.1822125,-105.144086,6708,4225.910823, 326 
4900929323,NIOBRARA,CONTINENTAL RESOURCES,9/1/2014,42.790197,-105.376874,11236,4841.255756," 2,738 "
4900929364,NIOBRARA,CONTINENTAL RESOURCES,10/1/2014,42.803712,-105.376878,11238,3733.846929," 2,933 "
4900929443,SUSSEX,CONTINENTAL RESOURCES,5/1/2015,42.80705,-105.2947735,10004,5550.417304," 3,111 "
4900929462,TURNER-FRONTIER,EOG,4/1/2017,43.4209495,-105.499052,10839,9096.406228," 4,642 "
4900929463,PARKMAN,EOG,9/1/2014,43.4420205,-105.4886065,7592,4015.374932, 509 
4900928215,TURNER-FRONTIER,SLAWSON EXPLORATION,9/1/2008,43.207323,-105.7059745,15793,3834.882873, 812 
4900928225,SUSSEX,CONTINENTAL RESOURCES,5/1/2011,43.2377055,-105.6360665,10206,4324.819593, 200 
4900561160,PARKMAN,BALLARD PETROLEUM,9/1/2012,44.0914795,-105.6815745,6670,3814.392877, 313 
4900561174,TURNER-FRONTIER,EOG,3/1/2012,43.498305,-105.4758255,10381,4172.172502," 7,729 "
4900561191,TURNER-FRONTIER,EOG,11/1/2011,43.526654,-105.4676105,10161,3511.326079," 8,523 "
4900561351,TURNER-FRONTIER,EOG,3/1/2012,43.743787,-105.6908555,10752,4322.983267, 464 
4900929574,SHANNON,IMPACT E&P LLC,2/1/2019,43.1421685,-105.802473,12860,9199.663876, 494 
4900929606,TEAPOT,DEVON,7/1/2015,43.110985,-105.046602,6222,3803.850573, 605 
4900929620,TURNER-FRONTIER,EOG,1/1/2016,43.39851,-105.4872915,10834,4410.85655," 4,012 "
4900929650,TEAPOT,DEVON,1/1/2021,43.231613,-105.4370215,7980,9317.766577, 200 
4900929662,PARKMAN,DEVON,8/1/2014,43.1867555,-105.4446305,8799,6064.248867, 300 
4900929692,TEAPOT,DEVON,12/1/2014,43.138519,-104.972477,5862,4038.127675, 200 
4900929707,TEAPOT,DEVON,7/1/2017,43.0605965,-105.05185,6720,9070.783906, 467 
4900928233,SUSSEX,CONTINENTAL RESOURCES,7/1/2010,43.150248,-105.56495,10207,4221.535641, 200 
4900928245,SUSSEX,CONTINENTAL RESOURCES,9/1/2012,43.1653755,-105.56586,10073,4020.00042, 200 
4900928287,PARKMAN,MATRIX PRODUCTION COMPANY,10/1/2012,43.050326,-105.2705155,7880,3732.259824, 322 
4900928288,PARKMAN,OCCIDENTAL,6/1/2011,43.0917215,-105.3461705,12700,4403.933985, 200 
4900928290,NIOBRARA,CONTINENTAL RESOURCES,10/1/2011,42.8030175,-105.445657,11548,3728.924108," 1,430 "
4900928306,SUSSEX,CONTINENTAL RESOURCES,11/1/2011,43.3944825,-105.8036665,10344,4045.048493, 236 
4900928326,SUSSEX,CONTINENTAL RESOURCES,8/1/2011,43.2511645,-105.59495,9691,4006.072552, 646 
4900928346,NIOBRARA,CONTINENTAL RESOURCES,6/1/2011,42.93546,-105.454433,11907,5604.010665, 967 
4900928408,NIOBRARA,OCCIDENTAL,4/1/2012,42.762913,-105.064519,10261,3960.184339," 2,377 "
4900928420,NIOBRARA,CONTINENTAL RESOURCES,10/1/2012,42.917371,-105.1698755,10495,5366.199364," 2,019 "
4900561424,PARKMAN,BALLARD PETROLEUM,5/1/2014,44.039123,-105.6604495,6696,4346.752646, 200 
4900561450,TURNER-FRONTIER,EOG,6/1/2012,43.758723,-105.720001,10790,4476.956158, 468 
4900561452,NIOBRARA,CENERGY RESOURCES LLC,3/1/2012,43.527084,-105.395443,9779,3743.363438," 14,102 "
4900561465,TURNER-FRONTIER,PETRO-HUNT,8/1/2012,43.80717,-105.494684,9362,4583.395903, 943 
4900929778,SUSSEX,CONTINENTAL RESOURCES,7/1/2022,43.37404,-105.81189,10924,11794.17311, 439 
4900929842,PARKMAN,CONTINENTAL RESOURCES,7/1/2015,42.7932365,-105.2807475,10070,7212.005105," 3,035 "
4900929876,PARKMAN,DEVON,1/1/2015,43.297966,-105.384161,7549,6234.927424, 231 
4900929925,SUSSEX,CONTINENTAL RESOURCES,3/1/2018,42.813302,-105.2704215,11991,8478.519035," 3,626 "
